X_s	Y_s	X_p	Y_p	X_d	Y_d	X_f	Y_f	X_sum	Y_sum
-19.41674606	71.43808783	-19.18615008	4.369173112	-19.16418856	3.905109978			-19.41674606	75.88058441
-19.4057653	73.41971514	-19.17516932	4.433817137	-19.1532078	4.004634792			-19.4057653	78.00315869
-19.39478453	75.47164511	-19.16418856	4.495456773	-19.14222704	4.100267785			-19.39478453	80.20068915
-19.38380377	77.59013326	-19.1532078	4.553481023	-19.13124628	4.19152439			-19.38380377	82.46925092
-19.37282301	79.77363902	-19.14222704	4.607557232	-19.12026552	4.277856454			-19.37282301	84.80725401
-19.36184225	82.02276551	-19.13124628	4.657380844	-19.10928475	4.358643527			-19.36184225	87.21538834
-19.35086149	84.33466524	-19.12026552	4.702569841	-19.09830399	4.433306541			-19.35086149	89.69068328
-19.33988073	86.70301312	-19.10928475	4.742639165	-19.08732323	4.501521916			-19.33988073	92.22645293
-19.32889997	89.12627969	-19.09830399	4.777117751	-19.07634247	4.563010311			-19.32889997	94.82108146
-19.31791921	91.59935954	-19.08732323	4.805841172	-19.06536171	4.617328475			-19.31791921	97.46917453
-19.30693845	94.11079516	-19.07634247	4.828659379	-19.05438095	4.663804895			-19.30693845	100.1585985
-19.29595769	96.65662149	-19.06536171	4.845308086	-19.04340019	4.702203251			-19.29595769	102.8851712
-19.28497693	99.22931626	-19.05438095	4.855266326	-19.03241943	4.732313021			-19.28497693	105.6409106
-19.27399617	101.8259332	-19.04340019	4.858384807	-19.02143867	4.753788906			-19.27399617	108.4227248
-19.26301541	104.4375122	-19.03241943	4.854590174	-19.01045791	4.76654439			-19.26301541	111.221076
-19.25203464	107.0457274	-19.02143867	4.843662723	-18.99947715	4.770581178			-19.25203464	114.0164368
-19.24105388	109.6454133	-19.01045791	4.825590895	-18.98849639	4.765828636			-19.24105388	116.8032948
-19.23007312	112.225199	-18.99947715	4.800394449	-18.97751563	4.752459187			-19.23007312	119.5695309
-19.21909236	114.7731078	-18.98849639	4.768065084	-18.96653486	4.730617857			-19.21909236	122.3023511
-19.2081116	117.2765918	-18.97751563	4.728843889	-18.9555541	4.700097559			-19.2081116	124.9883648
-19.19713084	119.7171089	-18.96653486	4.68289957	-18.94457334	4.660849617			-19.19713084	127.6078187
-19.18615008	122.0896274	-18.9555541	4.630070887	-18.93359258	4.613159403			-19.18615008	130.1552717
-19.17516932	124.3860776	-18.94457334	4.570352163	-18.92261182	4.557360372			-19.17516932	132.6220507
-19.16418856	126.5898931	-18.93359258	4.504061105	-18.91163106	4.493642464			-19.16418856	134.9904598
-19.1532078	128.6816909	-18.92261182	4.431560568	-18.9006503	4.422710983			-19.1532078	137.2398067
-19.14222704	130.6504886	-18.91163106	4.35305704	-18.88966954	4.344980318			-19.14222704	139.3583136
