File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_144 (3 1 1).std.csv,-1.20834,-28.329,-1.50923,-26.8198,-28.329
op_145 (3 1 1).std.csv,-1.22876,-28.3494,-1.52955,-26.8199,-28.3494
op_146 (3 1 1).std.csv,-1.39257,-28.5132,-1.69335,-26.8199,-28.5132
op_147 (3 1 1).std.csv,-1.309,-28.4297,-1.61092,-26.8187,-28.4297
op_148 (3 1 1).std.csv,-1.32598,-28.4466,-1.62831,-26.8183,-28.4466
op_149 (3 1 1).std.csv,-1.26134,-28.382,-1.56312,-26.8189,-28.382
op_150 (3 1 1).std.csv,-1.31417,-28.4348,-1.61562,-26.8192,-28.4348
op_151 (3 1 1).std.csv,-1.29737,-28.418,-1.59812,-26.8199,-28.418
op_152 (3 1 1).std.csv,-1.30861,-28.4293,-1.61177,-26.8175,-28.4293
op_153 (3 1 1).std.csv,-1.31891,-28.4396,-1.62088,-26.8187,-28.4396
op_154 (3 1 1).std.csv,-1.31997,-28.4406,-1.62087,-26.8198,-28.4406
op_155 (3 1 1).std.csv,-1.39531,-28.516,-1.69616,-26.8198,-28.516
op_156 (3 1 1).std.csv,-1.3891,-28.5098,-1.68984,-26.8199,-28.5098
op_157 (3 1 1).std.csv,-1.11152,-28.2322,-1.41351,-26.8187,-28.2322
op_158 (3 1 1).std.csv,-1.3243,-28.445,-1.62519,-26.8198,-28.445
op_159 (3 1 1).std.csv,-1.38073,-28.5014,-1.68237,-26.819,-28.5014
op_160 (3 1 1).std.csv,-1.28664,-28.4073,-1.58952,-26.8178,-28.4073
op_161 (3 1 1).std.csv,-1.23909,-28.3597,-1.54015,-26.8196,-28.3597
op_162 (3 1 1).std.csv,-1.28572,-28.4064,-1.58867,-26.8177,-28.4064
